"filename", "language", "Shell Script", "Markdown", "YAML", "Python", "pip requirements", "LaTeX package", "JSON", "BibTeX style", "BibTeX", "LaTeX", "JavaScript", "HTML", "comment", "blank", "total"
"d:\zyt\git_ln\freephdlabor\.claude\commands\analyze_agent_context.md", "Markdown", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 99
"d:\zyt\git_ln\freephdlabor\.claude\commands\refine_agent_prompt.md", "Markdown", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 55
"d:\zyt\git_ln\freephdlabor\.llm_config.yaml", "YAML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 22
"d:\zyt\git_ln\freephdlabor\README.md", "Markdown", 0, 477, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 158, 635
"d:\zyt\git_ln\freephdlabor\environment.yml", "YAML", 0, 0, 478, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 478
"d:\zyt\git_ln\freephdlabor\external_tools\run_experiment_tool\ai_scientist\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\zyt\git_ln\freephdlabor\external_tools\run_experiment_tool\ai_scientist\blank_icbinb_latex\fancyhdr.sty", "LaTeX package", 0, 0, 0, 0, 0, 224, 0, 0, 0, 0, 0, 0, 212, 50, 486
"d:\zyt\git_ln\freephdlabor\external_tools\run_experiment_tool\ai_scientist\blank_icbinb_latex\iclr2025.bib", "BibTeX", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 2, 24
"d:\zyt\git_ln\freephdlabor\external_tools\run_experiment_tool\ai_scientist\blank_icbinb_latex\iclr2025.bst", "BibTeX style", 0, 0, 0, 0, 0, 0, 0, 1245, 0, 0, 0, 0, 50, 146, 1441
"d:\zyt\git_ln\freephdlabor\external_tools\run_experiment_tool\ai_scientist\blank_icbinb_latex\iclr2025.sty", "LaTeX package", 0, 0, 0, 0, 0, 159, 0, 0, 0, 0, 0, 0, 54, 34, 247
"d:\zyt\git_ln\freephdlabor\external_tools\run_experiment_tool\ai_scientist\blank_icbinb_latex\math_commands.tex", "LaTeX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 437, 0, 0, 43, 29, 509
"d:\zyt\git_ln\freephdlabor\external_tools\run_experiment_tool\ai_scientist\blank_icbinb_latex\natbib.sty", "LaTeX package", 0, 0, 0, 0, 0, 1081, 0, 0, 0, 0, 0, 0, 159, 7, 1247
"d:\zyt\git_ln\freephdlabor\external_tools\run_experiment_tool\ai_scientist\blank_icbinb_latex\template.tex", "LaTeX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 38, 30, 151
"d:\zyt\git_ln\freephdlabor\external_tools\run_experiment_tool\ai_scientist\blank_icml_latex\algorithm.sty", "LaTeX package", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 9, 6, 80
"d:\zyt\git_ln\freephdlabor\external_tools\run_experiment_tool\ai_scientist\blank_icml_latex\algorithmic.sty", "LaTeX package", 0, 0, 0, 0, 0, 163, 0, 0, 0, 0, 0, 0, 22, 17, 202
"d:\zyt\git_ln\freephdlabor\external_tools\run_experiment_tool\ai_scientist\blank_icml_latex\icml2025.bst", "BibTeX style", 0, 0, 0, 0, 0, 0, 0, 1245, 0, 0, 0, 0, 53, 146, 1444
"d:\zyt\git_ln\freephdlabor\external_tools\run_experiment_tool\ai_scientist\blank_icml_latex\icml2025.sty", "LaTeX package", 0, 0, 0, 0, 0, 445, 0, 0, 0, 0, 0, 0, 260, 103, 808
"d:\zyt\git_ln\freephdlabor\external_tools\run_experiment_tool\ai_scientist\blank_icml_latex\template.tex", "LaTeX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 0, 0, 47, 36, 185
"d:\zyt\git_ln\freephdlabor\external_tools\run_experiment_tool\ai_scientist\fewshot_examples\132_automated_relational.json", "JSON", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
