Date : 2026-02-17 16:50:33
Directory : d:\zyt\git_ln\freephdlabor
Total : 185 files,  44152 codes, 4949 comments, 8173 blanks, all 57274 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |        145 |     31,951 |      2,668 |      6,430 |     41,049 |
| BibTeX style     |          4 |      4,980 |        209 |        584 |      5,773 |
| LaTeX package    |         14 |      3,931 |      1,718 |        569 |      6,218 |
| LaTeX            |          4 |      1,103 |        202 |        220 |      1,525 |
| Markdown         |          4 |        608 |          0 |        192 |        800 |
| YAML             |          3 |        537 |         26 |         18 |        581 |
| JavaScript       |          1 |        528 |         69 |         99 |        696 |
| HTML             |          1 |        272 |          1 |         26 |        299 |
| BibTeX           |          2 |         89 |          0 |         11 |        100 |
| JSON             |          5 |         88 |          0 |          2 |         90 |
| Shell Script     |          1 |         39 |         53 |         21 |        113 |
| pip requirements |          1 |         26 |          3 |          1 |         30 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                   |        185 |     44,152 |      4,949 |      8,173 |     57,274 |
| . (Files)                                                                                                                           |          5 |      1,152 |         98 |        228 |      1,478 |
| .claude                                                                                                                             |          2 |        124 |          0 |         30 |        154 |
| .claude\commands                                                                                                                    |          2 |        124 |          0 |         30 |        154 |
| external_tools                                                                                                                      |         58 |     16,935 |      1,718 |      2,519 |     21,172 |
| external_tools\run_experiment_tool                                                                                                  |         58 |     16,935 |      1,718 |      2,519 |     21,172 |
| external_tools\run_experiment_tool (Files)                                                                                          |          3 |        395 |         50 |         63 |        508 |
| external_tools\run_experiment_tool\ai_scientist                                                                                     |         55 |     16,540 |      1,668 |      2,456 |     20,664 |
| external_tools\run_experiment_tool\ai_scientist (Files)                                                                             |          9 |      3,578 |        183 |        586 |      4,347 |
| external_tools\run_experiment_tool\ai_scientist\blank_icbinb_latex                                                                  |          7 |      3,251 |        556 |        298 |      4,105 |
| external_tools\run_experiment_tool\ai_scientist\blank_icml_latex                                                                    |          5 |      2,020 |        391 |        308 |      2,719 |
| external_tools\run_experiment_tool\ai_scientist\fewshot_examples                                                                    |          3 |          9 |          0 |          0 |          9 |
| external_tools\run_experiment_tool\ai_scientist\ideas                                                                               |          5 |        642 |        118 |        128 |        888 |
| external_tools\run_experiment_tool\ai_scientist\tools                                                                               |          3 |        142 |          1 |         26 |        169 |
| external_tools\run_experiment_tool\ai_scientist\treesearch                                                                          |         22 |      6,704 |        413 |      1,087 |      8,204 |
| external_tools\run_experiment_tool\ai_scientist\treesearch (Files)                                                                  |          9 |      4,471 |        243 |        612 |      5,326 |
| external_tools\run_experiment_tool\ai_scientist\treesearch\backend                                                                  |          4 |        282 |         19 |         69 |        370 |
| external_tools\run_experiment_tool\ai_scientist\treesearch\utils                                                                    |          9 |      1,951 |        151 |        406 |      2,508 |
| external_tools\run_experiment_tool\ai_scientist\treesearch\utils (Files)                                                            |          7 |      1,151 |         81 |        281 |      1,513 |
| external_tools\run_experiment_tool\ai_scientist\treesearch\utils\viz_templates                                                      |          2 |        800 |         70 |        125 |        995 |
| external_tools\run_experiment_tool\ai_scientist\utils                                                                               |          1 |        194 |          6 |         23 |        223 |
| freephdlabor                                                                                                                        |        120 |     25,941 |      3,133 |      5,396 |     34,470 |
| freephdlabor (Files)                                                                                                                |          5 |        863 |         91 |        117 |      1,071 |
| freephdlabor\agents                                                                                                                 |         11 |      1,637 |        239 |        386 |      2,262 |
| freephdlabor\interaction                                                                                                            |          3 |        153 |          9 |         27 |        189 |
| freephdlabor\interpreters                                                                                                           |          2 |         93 |         12 |         29 |        134 |
| freephdlabor\logging                                                                                                                |          2 |        219 |         23 |         45 |        287 |
| freephdlabor\prompts                                                                                                                |         11 |      1,274 |         91 |        359 |      1,724 |
| freephdlabor\supervision                                                                                                            |          3 |        612 |         55 |        163 |        830 |
| freephdlabor\toolkits                                                                                                               |         83 |     21,090 |      2,613 |      4,270 |     27,973 |
| freephdlabor\toolkits (Files)                                                                                                       |         10 |      1,329 |        144 |        285 |      1,758 |
| freephdlabor\toolkits\general_tools                                                                                                 |         42 |      5,725 |        414 |      1,094 |      7,233 |
| freephdlabor\toolkits\general_tools (Files)                                                                                         |          1 |          0 |          0 |          1 |          1 |
| freephdlabor\toolkits\general_tools\fetch_arxiv_papers                                                                              |          2 |        108 |          9 |         29 |        146 |
| freephdlabor\toolkits\general_tools\file_editing                                                                                    |          3 |        388 |         79 |         87 |        554 |
| freephdlabor\toolkits\general_tools\kb_repo_management                                                                              |          5 |        929 |         66 |        155 |      1,150 |
| freephdlabor\toolkits\general_tools\open_deep_search                                                                                |         22 |      2,090 |        117 |        442 |      2,649 |
| freephdlabor\toolkits\general_tools\open_deep_search (Files)                                                                        |          5 |        732 |         30 |        149 |        911 |
| freephdlabor\toolkits\general_tools\open_deep_search\context_building                                                               |          3 |        155 |         14 |         34 |        203 |
| freephdlabor\toolkits\general_tools\open_deep_search\context_scraping                                                               |          7 |        671 |         61 |        134 |        866 |
| freephdlabor\toolkits\general_tools\open_deep_search\ranking_models                                                                 |          5 |        286 |          6 |         63 |        355 |
| freephdlabor\toolkits\general_tools\open_deep_search\serp_search                                                                    |          2 |        246 |          6 |         62 |        314 |
| freephdlabor\toolkits\general_tools\talk_to_user                                                                                    |          1 |         18 |          0 |          2 |         20 |
| freephdlabor\toolkits\general_tools\text_inspector                                                                                  |          2 |        175 |         17 |         39 |        231 |
| freephdlabor\toolkits\general_tools\text_web_browser                                                                                |          4 |      1,876 |        119 |        296 |      2,291 |
| freephdlabor\toolkits\general_tools\visual_qa                                                                                       |          2 |        141 |          7 |         43 |        191 |
